24
0	883	982	811	997	876	609	1130	639	1038	856	905	1044	611	1059	720	958	677	1043	879	840	914	727	1022	
883	0	863	972	613	979	990	821	682	630	1143	782	792	880	945	847	583	686	753	890	910	848	684	586	
982	863	0	738	932	1021	803	967	612	1100	889	1113	1050	594	854	1128	894	866	1031	1094	1042	784	1110	767	
811	972	738	0	918	631	723	778	930	603	664	989	679	971	951	815	1081	992	1151	656	798	1120	1087	1149	
997	613	932	918	0	1133	741	669	628	1095	877	1135	752	722	957	581	657	937	694	1001	913	748	1093	927	
876	979	1021	631	1133	0	993	994	742	984	629	1034	610	814	853	844	1025	614	598	1039	916	816	756	1126	
609	990	803	723	741	993	0	903	1076	861	619	949	926	1134	1119	781	966	1035	820	779	908	791	887	1146	
1130	821	967	778	669	994	903	0	731	839	1000	810	1141	637	616	1054	955	643	716	1062	841	712	925	996	
639	682	612	930	628	742	1076	731	0	928	888	1007	845	1127	857	768	642	939	759	1052	1108	762	1086	1030	
1038	630	1100	603	1095	984	861	839	928	0	1079	746	944	680	676	675	747	929	620	728	650	1125	902	1057	
856	1143	889	664	877	629	619	1000	888	1079	0	862	706	652	838	1111	1010	933	705	777	952	860	622	826	
905	782	1113	989	1135	1034	949	810	1007	746	862	0	1029	770	828	1114	936	795	831	1118	812	627	824	1085	
1044	792	1050	679	752	610	926	1141	845	944	706	1029	0	940	800	758	1123	874	830	1096	653	962	737	1017	
611	880	594	971	722	814	1134	637	1127	680	652	770	940	0	981	600	794	1099	647	899	809	1080	1144	858	
1059	945	854	951	957	853	1119	616	857	676	838	828	800	981	0	1032	851	1002	709	691	699	744	956	837	
720	847	1128	815	581	844	781	1054	768	675	1111	1114	758	600	1032	0	983	625	717	868	923	615	991	593	
958	583	894	1081	657	1025	966	955	642	747	1010	936	1123	794	851	983	0	1124	941	672	589	911	1064	999	
677	686	866	992	937	614	1035	643	939	929	933	795	874	1099	1002	625	1124	0	915	1051	1122	660	711	645	
1043	753	1031	1151	694	598	820	716	759	620	705	831	830	647	709	717	941	915	0	635	1073	648	849	596	
879	890	1094	656	1001	1039	779	1062	1052	728	777	1118	1096	899	691	868	672	1051	635	0	1077	859	1142	1016	
840	910	1042	798	913	916	908	841	1108	650	952	812	653	809	699	923	589	1122	1073	1077	0	638	822	641	
914	848	784	1120	748	816	791	712	762	1125	860	627	962	1080	744	615	911	660	648	859	638	0	688	870	
727	684	1110	1087	1093	756	887	925	1086	902	622	824	737	1144	956	991	1064	711	849	1142	822	688	0	1088	
1022	586	767	1149	927	1126	1146	996	1030	1057	826	1085	1017	858	837	593	999	645	596	1016	641	870	1088	0	
